"lat","long","date","waterbody","reach_length(m)","avg_reach_width(m)","method","EBT<140mm","potentially_stocked_EBT","BT<140mm","potentially_stocked_BT","RT<140mm","potentially_s
tocked_RT","Location_Description","Habitat_Comment"
42.6594444,-70.8922222,"9/15/1998","Ipswich River",173,NA,"Backpack Shocking",0,0,0,4,0,0,"Willowdale Road to Foote Brothers Dam","Shallow water.  Wide gravel/rock channel.  Mature overstory.  Some silt in pockets bby bank.  Deepest spot was the plunge pool in front of the breeched concrete dam.  Saw one dead brown trout (12"") near shore.  Lots of emergent vegetation near dam pools directly behind Foote Bros."
42.6577777,-70.8605555,"9/16/1998","Ipswich River",133,NA,"Backpack Shocking",0,0,0,2,0,1,"Started 238 meters downstream of Mill Road","Riffles and shallow pools.  One big bend in sample reach.  All gravel/rocky bottom.  Silver maple-dominated forest."
42.517845,-71.244769,"9/30/1998","Shawsheen River",200,NA,"Backpack Shocking",0,0,0,1,0,1,"Downstrem of Middlesex Turnpike","Ten to fifteen feet wide, two to four feet deep. Muddy, lots of overhang"
42.627541,-71.1571907,"10/1/1998","Shawsheen River",70,NA,"Backpack Shocking",0,0,0,1,0,0,"Downstream of Ballardvale Dam","Stretch had slight bend. Cobble, boulder, some vegetation. Tree lined"
42.6547222,-70.9169444,"7/13/1999","Howlett Brook",196,NA,"Backpack Shocking",1,0,0,1,0,0,"","Riffle reach downstream of bridge to dam. Rocky Stretch"
42.6311111,-70.9736111,"7/15/1999","Fish Brook",187,NA,"Backpack Shocking",0,0,0,1,0,0,"Upstream of Washington St.","Very sandy stretch, not much wood or other substrate in stream"
42.6444444,-70.9886111,"7/15/1999","Fish Brook",NA,NA,"Backpack Shocking",0,2,0,0,0,0,"Lockwood Lane","Low water, some riffle, little woody debris"
42.1426497,-72.1199115,"8/24/1999","BIG ALUM POND",NA,NA,"Boat Shocking",0,0,0,2,0,0,"Big Alum","Very narrow littoral zone.  Many fish out of reach on dropoff. A lot of boat traffic. Rocky, steep shoreline"
42.1426497,-72.1199115,"8/24/1999","BIG ALUM POND",NA,NA,"Gillnet",0,0,0,6,0,3,"Big Alum","One gill net ruined by a boat encounter"
42.093203,-72.044175,"10/1/1999","McKinstry Brook",115,NA,"Backpack Shocking",0,3,0,0,0,0,"Plympton Rd.","Water very dark, poor visibility"
