TOPUTMX,TOPUTMY,GNIS_NAME,LOCATIONID,SAMPLEID,BEGDATE,GEAR_TYPE,SPP,RUNNUM,ORIGIN,LIFE_STAGE,ABUNDANCE,QUALABUN,RANGE
        342416.00000,       4910961.00000,Evans Brook,             1.16860,A-01/01/1996-01,1996/01/01,Backpack Electrofishing,BND,             1.00000,,,            49.00000,,
        342416.00000,       4910961.00000,Evans Brook,             1.16860,A-01/01/1996-01,1996/01/01,Backpack Electrofishing,LCB,             1.00000,,,            36.00000,,
        342416.00000,       4910961.00000,Evans Brook,             1.16860,A-01/01/1996-01,1996/01/01,Backpack Electrofishing,SCL,             1.00000,,,            35.00000,,
        342416.00000,       4910961.00000,Evans Brook,             1.16860,A-01/01/1996-02,1996/01/01,Backpack Electrofishing,BND,             1.00000,,,            35.00000,,
        342416.00000,       4910961.00000,Evans Brook,             1.16860,A-01/01/1996-02,1996/01/01,Backpack Electrofishing,FLF,             1.00000,,,             1.00000,,
        342416.00000,       4910961.00000,Evans Brook,             1.16860,A-01/01/1996-02,1996/01/01,Backpack Electrofishing,LCB,             1.00000,,,            36.00000,,
        342416.00000,       4910961.00000,Evans Brook,             1.16860,A-01/01/1996-02,1996/01/01,Backpack Electrofishing,SCL,             1.00000,,,            60.00000,,
        342416.00000,       4910961.00000,Evans Brook,             1.16860,A-01/01/1996-03,1996/01/01,Backpack Electrofishing,BND,             1.00000,,,            45.00000,,
        342416.00000,       4910961.00000,Evans Brook,             1.16860,A-01/01/1996-03,1996/01/01,Backpack Electrofishing,SCL,             1.00000,,,            39.00000,,
        342416.00000,       4910961.00000,Evans Brook,             1.16860,A-01/01/1996-03,1996/01/01,Backpack Electrofishing,BUL,             1.00000,,,             1.00000,,
        342416.00000,       4910961.00000,Evans Brook,             1.16860,A-01/01/1996-03,1996/01/01,Backpack Electrofishing,RBT,             1.00000,,,             2.00000,,
        342416.00000,       4910961.00000,Evans Brook,             1.16860,A-01/01/1996-03,1996/01/01,Backpack Electrofishing,BKT,             1.00000,Unknown,Adults/Juveniles,             1.00000,,
        342416.00000,       4910961.00000,Evans Brook,             1.16860,A-01/01/1996-03,1996/01/01,Backpack Electrofishing,LCB,             1.00000,,,            41.00000,,
        342722.00000,       4911707.00000,Morrison Brook,             1.16870,A-01/01/1996-04,1996/01/01,Backpack Electrofishing,RBT,             1.00000,,,             1.00000,,
        342722.00000,       4911707.00000,Morrison Brook,             1.16870,A-01/01/1996-04,1996/01/01,Backpack Electrofishing,BND,             1.00000,,,             2.00000,,
        342722.00000,       4911707.00000,Morrison Brook,             1.16870,A-01/01/1996-04,1996/01/01,Backpack Electrofishing,LCB,             1.00000,,,            14.00000,,
        342722.00000,       4911707.00000,Morrison Brook,             1.16870,A-01/01/1996-04,1996/01/01,Backpack Electrofishing,LND,             1.00000,,,             2.00000,,
        342722.00000,       4911707.00000,Morrison Brook,             1.16870,A-01/01/1996-04,1996/01/01,Backpack Electrofishing,SCL,             1.00000,,,            16.00000,,
        387150.00000,       4852891.00000,Pleasant River,             1.07150,A-03/25/1998-01,1998/03/25,Backpack Electrofishing,BND,             1.00000,,,             6.00000,,
        387150.00000,       4852891.00000,Pleasant River,             1.07150,A-03/25/1998-01,1998/03/25,Backpack Electrofishing,CMS,             1.00000,,,             3.00000,,
        387150.00000,       4852891.00000,Pleasant River,             1.07150,A-03/25/1998-01,1998/03/25,Backpack Electrofishing,CCB,             1.00000,,,             1.00000,,
        387150.00000,       4852891.00000,Pleasant River,             1.07150,A-03/25/1998-01,1998/03/25,Backpack Electrofishing,WHS,             1.00000,,,             1.00000,,
        387150.00000,       4852891.00000,Pleasant River,             1.07150,A-03/25/1998-01,1998/03/25,Backpack Electrofishing,BNT,             1.00000,Unknown,Adults/Juveniles,             2.00000,,
        387150.00000,       4852891.00000,Pleasant River,             1.07150,A-03/25/1998-01,1998/03/25,Backpack Electrofishing,BKT,             1.00000,Unknown,Adults/Juveniles,             1.00000,,
        387150.00000,       4852891.00000,Pleasant River,             1.07150,A-03/25/1998-01,1998/03/25,Backpack Electrofishing,BKT,             1.00000,Unknown,Adults/Juveniles,             6.00000,,
        387150.00000,       4852891.00000,Pleasant River,             1.07150,A-03/25/1998-01,1998/03/25,Backpack Electrofishing,BNT,             1.00000,Unknown,Adults/Juveniles,             1.00000,,
        391499.00000,       4906302.00000,East Branch Nezinscot River,             1.12970,A-03/26/1998-01,1998/03/26,Backpack Electrofishing,BKT,             1.00000,Unknown,Adults/Juveniles,             2.00000,,
        391499.00000,       4906302.00000,East Branch Nezinscot River,             1.12970,A-03/26/1998-01,1998/03/26,Backpack Electrofishing,SCL,             1.00000,,,             1.00000,,
        390469.00000,       4912371.00000,East Branch Nezinscot River,             1.12990,A-03/26/1998-02,1998/03/26,Backpack Electrofishing,WHS,             1.00000,,,             1.00000,,
        386692.00000,       4920164.00000,East Branch Nezinscot River,             1.13010,A-03/26/1998-03,1998/03/26,Backpack Electrofishing,BND,             1.00000,,,             4.00000,,
        386692.00000,       4920164.00000,East Branch Nezinscot River,             1.13010,A-03/26/1998-03,1998/03/26,Backpack Electrofishing,BKT,             1.00000,Unknown,Adults/Juveniles,             1.00000,,
        387222.00000,       4917761.00000,East Branch Nezinscot River,             1.13020,A-03/26/1998-04,1998/03/26,Backpack Electrofishing,WHS,             1.00000,,,             1.00000,,
        387222.00000,       4917761.00000,East Branch Nezinscot River,             1.13020,A-03/26/1998-04,1998/03/26,Backpack Electrofishing,BKT,             1.00000,Unknown,Adults/Juveniles,             1.00000,,
        387222.00000,       4917761.00000,East Branch Nezinscot River,             1.13020,A-03/26/1998-04,1998/03/26,Backpack Electrofishing,BND,             1.00000,,,             6.00000,,
        356605.00000,       4808384.00000,Great Works River,             1.00250,A-03/31/1998-01,1998/03/31,Backpack Electrofishing,BKT,             1.00000,Unknown,Adults/Juveniles,             3.00000,,
        356605.00000,       4808384.00000,Great Works River,             1.00250,A-03/31/1998-01,1998/03/31,Backpack Electrofishing,BKT,             1.00000,Unknown,Adults/Juveniles,             7.00000,,
        356605.00000,       4808384.00000,Great Works River,             1.00250,A-03/31/1998-01,1998/03/31,Backpack Electrofishing,EEL,             1.00000,,,             1.00000,,
        356605.00000,       4808384.00000,Great Works River,             1.00250,A-03/31/1998-01,1998/03/31,Backpack Electrofishing,WHS,             1.00000,,,             1.00000,,
        357517.00000,       4805701.00000,Great Works River,             1.00270,A-03/31/1998-02,1998/03/31,Backpack Electrofishing,BKT,             1.00000,Unknown,Adults/Juveniles,             2.00000,,
        357517.00000,       4805701.00000,Great Works River,             1.00270,A-03/31/1998-02,1998/03/31,Backpack Electrofishing,BKT,             1.00000,Unknown,Adults/Juveniles,             3.00000,,
        350206.00000,       4807461.00000,,             1.00710,A-03/31/1998-03,1998/03/31,Backpack Electrofishing,WHS,             1.00000,,,             2.00000,,
        350206.00000,       4807461.00000,,             1.00710,A-03/31/1998-03,1998/03/31,Backpack Electrofishing,LND,             1.00000,,,             6.00000,,
        350206.00000,       4807461.00000,,             1.00710,A-03/31/1998-03,1998/03/31,Backpack Electrofishing,CMS,             1.00000,,,            12.00000,,
        350206.00000,       4807461.00000,,             1.00710,A-03/31/1998-03,1998/03/31,Backpack Electrofishing,BND,             1.00000,,,             6.00000,,
        350081.00000,       4805168.00000,Little River,             1.00740,A-03/31/1998-04,1998/03/31,Backpack Electrofishing,WHS,             1.00000,,,             1.00000,,
        350081.00000,       4805168.00000,Little River,             1.00740,A-03/31/1998-04,1998/03/31,Backpack Electrofishing,LND,             1.00000,,,             2.00000,,
        350081.00000,       4805168.00000,Little River,             1.00740,A-03/31/1998-04,1998/03/31,Backpack Electrofishing,EEL,             1.00000,,,             1.00000,,
        350081.00000,       4805168.00000,Little River,             1.00740,A-03/31/1998-04,1998/03/31,Backpack Electrofishing,BND,             1.00000,,,             4.00000,,
        372632.00000,       4799001.00000,Blacksmith Brook,             1.01540,A-03/31/1998-06,1998/03/31,Backpack Electrofishing,BKT,             1.00000,Unknown,Adults/Juveniles,             1.00000,,
        372632.00000,       4799001.00000,Blacksmith Brook,             1.01540,A-03/31/1998-06,1998/03/31,Backpack Electrofishing,BKT,             1.00000,Unknown,Adults/Juveniles,            17.00000,,
        372632.00000,       4799001.00000,Blacksmith Brook,             1.01540,A-03/31/1998-06,1998/03/31,Backpack Electrofishing,EEL,             1.00000,,,             6.00000,,
        363138.00000,       4804795.00000,,             1.01680,A-03/31/1998-07,1998/03/31,Backpack Electrofishing,WHS,             1.00000,,,             1.00000,,
        363138.00000,       4804795.00000,,             1.01680,A-03/31/1998-07,1998/03/31,Backpack Electrofishing,BKT,             1.00000,Unknown,Adults/Juveniles,             3.00000,,
        363138.00000,       4804795.00000,,             1.01680,A-03/31/1998-07,1998/03/31,Backpack Electrofishing,BKT,             1.00000,Unknown,Adults/Juveniles,             1.00000,,
        392571.00000,       4861595.00000,Libby Brook,             1.09830,A-04/09/1998-01,1998/04/09,Backpack Electrofishing,BKT,             1.00000,Unknown,Adults/Juveniles,             6.00000,,
        392571.00000,       4861595.00000,Libby Brook,             1.09830,A-04/09/1998-01,1998/04/09,Backpack Electrofishing,BKT,             1.00000,Unknown,Adults/Juveniles,             3.00000,,
        392615.00000,       4861942.00000,Libby Brook,             1.09850,A-04/09/1998-02,1998/04/09,Backpack Electrofishing,BKT,             1.00000,Unknown,Adults/Juveniles,             6.00000,,
        395234.00000,       4865387.00000,Brandy Brook,             1.09770,A-04/15/1999-01,1999/04/15,Backpack Electrofishing,BKT,             1.00000,Unknown,Adults/Juveniles,            12.00000,,
        395234.00000,       4865387.00000,Brandy Brook,             1.09770,A-04/15/1999-01,1999/04/15,Backpack Electrofishing,BKT,             1.00000,Unknown,Adults/Juveniles,            11.00000,,
        395234.00000,       4865387.00000,Brandy Brook,             1.09770,A-04/15/1999-01,1999/04/15,Backpack Electrofishing,BNT,             1.00000,Unknown,Adults/Juveniles,             8.00000,,
        395231.00000,       4865433.00000,Brandy Brook,             1.09780,A-04/15/1999-02,1999/04/15,Backpack Electrofishing,BNT,             1.00000,Unknown,Adults/Juveniles,             1.00000,,
        395231.00000,       4865433.00000,Brandy Brook,             1.09780,A-04/15/1999-02,1999/04/15,Backpack Electrofishing,BKT,             1.00000,Unknown,Adults/Juveniles,             7.00000,,
        395030.00000,       4862789.00000,Brandy Brook,             1.09790,A-04/15/1999-03,1999/04/15,Backpack Electrofishing,BKT,             1.00000,Unknown,Adults/Juveniles,             5.00000,,
        395548.00000,       4864137.00000,Brandy Brook,             1.09800,A-04/15/1999-04,1999/04/15,Backpack Electrofishing,BKT,             1.00000,Unknown,Adults/Juveniles,             5.00000,,
        395548.00000,       4864137.00000,Brandy Brook,             1.09800,A-04/15/1999-04,1999/04/15,Backpack Electrofishing,BNT,             1.00000,Unknown,Adults/Juveniles,             3.00000,,
        395548.00000,       4864137.00000,Brandy Brook,             1.09800,A-04/15/1999-04,1999/04/15,Backpack Electrofishing,BKT,             1.00000,Unknown,Adults/Juveniles,             6.00000,,
        395548.00000,       4864137.00000,Brandy Brook,             1.09800,A-04/15/1999-05,1999/04/15,Backpack Electrofishing,BKT,             1.00000,Unknown,Adults/Juveniles,             8.00000,,
        395548.00000,       4864137.00000,Brandy Brook,             1.09800,A-04/15/1999-05,1999/04/15,Backpack Electrofishing,BKT,             1.00000,Unknown,Adults/Juveniles,             3.00000,,
        395224.00000,       4865542.00000,Brandy Brook,             1.09810,A-04/15/1999-06,1999/04/15,Backpack Electrofishing,BKT,             1.00000,Unknown,Adults/Juveniles,            17.00000,,
        395224.00000,       4865542.00000,Brandy Brook,             1.09810,A-04/15/1999-06,1999/04/15,Backpack Electrofishing,BNT,             1.00000,Unknown,Adults/Juveniles,             1.00000,,
        399181.00000,       4831939.00000,Trout Brook,             1.06070,A-04/18/2000-01,2000/04/18,Backpack Electrofishing,BKT,             1.00000,Unknown,Adults/Juveniles,             8.00000,,
        399181.00000,       4831939.00000,Trout Brook,             1.06070,A-04/18/2000-01,2000/04/18,Backpack Electrofishing,EEL,             1.00000,,,             4.00000,,
        399345.00000,       4831435.00000,Trout Brook,             1.06090,A-04/18/2000-02,2000/04/18,Backpack Electrofishing,BKT,             1.00000,Unknown,Adults/Juveniles,            13.00000,,
