LAT,LONG,YEAR,DATE-Old,DATE-New,WATERBODY,Length_m,Surface_Area_m2,Brook_Trout,Brook_Trout_Hatchery,Brown_Trout,Brown_Trout_Hatchery,Rainbow_Trout,Rainbow_Trout_Hatchery,COMMENTS
44.089509,-72.024534,2000,0,07/04/00,Clark Brook,0,0,0,0,0,0,NE,0,0
42.905363,-71.523401,2000,0,07/04/00,McQuade Brook,0,0,0,0,0,0,0,0,0
42.795643,-71.595348,2000,0,07/04/00,Witches Brook,0,0,NE,0,0,0,0,0,0
42.83592,-71.473122,2000,0,07/04/00,Nesenkeag Brook,0,0,0,0,0,0,0,0,0
43.323412,-71.628964,2000,0,07/04/00,Tannery Brook,0,0,NE,0,0,0,0,0,0
43.168971,-71.52396,2000,0,07/04/00,Turkey River,0,0,0,0,0,0,0,0,0
43.414524,-71.296179,2000,0,07/04/00,Suncook River,0,0,0,0,0,0,0,0,0
42.806287,-71.353327,2000,0,07/04/00,Beaver Brook,0,0,0,0,0,0,0,0,0
42.889919,-71.331768,2000,0,07/04/00,Shields Brook,0,0,NE,0,0,0,0,0,0
43.623411,-71.15979,2000,0,07/04/00,Willey Brook,0,0,0,0,0,0,0,0,0
43.025639,-71.503957,2000,0,07/04/00,Black Brook,0,0,0,0,0,0,0,0,0
42.87092,-71.492567,2000,0,07/04/00,Baboosic Brook,0,0,0,0,NE,0,0,0,0
42.92203,-71.449511,2000,0,07/04/00,Little Cohas Brook,0,0,0,0,0,0,0,0,0
42.956752,-71.403399,2000,0,07/04/00,Cohas Brook,0,0,0,0,0,0,0,0,0
43.327858,-71.487849,2000,0,07/04/00,Shaker Brook,0,0,0,0,0,0,0,0,0
43.326747,-71.387292,2000,0,07/04/00,Sanborn Brook,0,0,0,0,0,0,0,0,0
43.070366,-70.774775,2000,0,07/04/00,Hodgson,0,0,0,0,0,0,0,0,0
42.996197,-71.148949,2000,0,07/04/00,Exeter River,0,0,0,0,0,0,0,0,0
43.174251,-70.916726,2000,0,07/04/00,Bellamy River,0,0,0,0,0,0,0,0,0
43.299804,-70.98173,2000,0,07/04/00,Cocheco River,0,0,0,0,0,0,0,0,0
42.964534,-70.796441,2000,0,07/04/00,Little River,0,0,0,0,0,0,0,0,0
44.046458,-71.115626,2000,0,07/04/00,Artist Brook,0,0,NE,0,0,0,0,0,0
44.400744,-71.230162,2001,0,07/04/01,Moose River,0,0,NE,0,0,0,NE,0,0
44.287563,-71.227851,2001,0,07/04/01,Peabody River,0,0,NE,0,0,0,0,0,0
44.207055,-71.724527,2001,0,07/04/01,Lafayette Brook,0,0,NE,0,0,0,NE,0,0
43.732239,-71.629191,2001,0,07/04/01,Owl Brook,0,0,NE,0,0,0,0,0,0
43.825139,-71.656294,2001,0,07/04/01,Beebee River,0,0,0,0,0,0,0,0,0
43.948441,-71.872307,2001,0,07/04/01,Baker River,0,0,NE,0,0,0,NE,0,0
44.002635,-71.746723,2001,0,07/04/01,Jackman Brook,0,0,NE,0,0,0,0,0,0
43.687654,-71.640864,2001,0,07/04/01,Squam River,0,0,0,0,0,0,0,0,0
44.029159,-71.711912,2001,0,07/04/01,Moosilauke River,0,0,NE,0,0,0,0,0,0
43.200963,-71.48102,2001,0,07/04/01,Soucook River,0,0,NE,0,0,0,NE,0,0
43.22404,-71.34646,2001,0,07/04/01,Little Suncook,0,0,0,0,0,0,0,0,0
43.221495,-71.32965,2001,0,07/04/01,Little Suncook,0,0,NE,0,0,0,0,0,0
43.220845,-71.295124,2001,0,07/04/01,Little Suncook,0,0,0,0,0,0,0,0,0
43.775035,-71.387423,2001,0,07/04/01,Weed Brook,0,0,0,0,0,0,0,0,0
43.707367,-71.849898,2001,0,07/04/01,Cockermouth River,0,0,NE,0,0,0,0,0,0
44.097936,-71.159077,2001,0,07/04/01,Saco River-East Branch,0,0,NE,0,0,0,0,0,0
44.162177,-71.093913,2001,0,07/04/01,Slippery Brook,0,0,NE,0,0,0,0,0,0
44.135801,-71.109585,2001,0,07/04/01,Burnt Knoll Brook,0,0,NE,0,0,0,0,0,0
44.202037,-71.237813,2001,0,07/04/01,Ellis River,0,0,NE,0,0,0,0,0,0
44.367009,-71.268065,2002,0,07/04/02,Bumpus Brook,0,0,NE,0,0,0,0,0,0
44.686214,-71.225345,2002,0,07/04/02,Newell Brook,0,0,NE,0,0,0,0,0,0
44.326629,-71.459038,2002,0,07/04/02,Appleby Brook,0,0,NE,0,0,0,0,0,0
44.088682,-72.00059,2002,0,07/04/02,Clark Brook,0,0,0,0,0,0,0,0,0
43.800976,-72.133903,2002,0,07/04/02,Grant Brook,0,0,NE,0,0,0,0,0,0
43.665736,-72.057361,2002,0,07/04/02,Mascoma River,0,0,0,0,0,0,0,0,0
43.543819,-71.82044,2002,0,07/04/02,Taylor Brook,0,0,NE,0,0,0,0,0,0
