OBJECTID,Survey_Num,Purpose,WIN,Name_of_Wa,Date,NYTME,NYTMN,Site_Lengt,Total_Of_N,Brook_Trou,Brown_Trou,Rainbow_Tr,POINT_X,POINT_Y
1,911307.00000000000,EBTJV survey,ONT-158-12-46,Crow Creek,06/21/33,236671,4740754,250,23,23,0,,-78.21879787120,42.77408707330
2,576001.00000000000,CROTS survey,H-299-P27-13,Kayaderosseras Creek,07/26/76,590533,4765924,350,1,0,1,,-73.88855207590,43.04061144350
3,576001.00000000000,CROTS survey,H-299-P27-13,Kayaderosseras Creek,07/27/76,586833,4766624,1000,23,0,23,,-73.93385892510,43.04734595790
4,576001.00000000000,CROTS survey,H-299-P27-13,Kayaderosseras Creek,07/27/76,586833,4769124,800,6,0,6,,-73.93346884230,43.06985454690
5,576001.00000000000,CROTS survey,H-299-P27-13,Kayaderosseras Creek,07/27/76,587632,4770824,300,15,1,14,,-73.92338881290,43.08506841090
6,576001.00000000000,CROTS survey,H-299-P27-13,Kayaderosseras Creek,07/27/76,587833,4765824,1500,8,0,8,,-73.92170914500,43.04002818860
7,576001.00000000000,CROTS survey,H-299-P27-13,Kayaderosseras Creek,07/28/76,588932,4773324,500,5,0,5,,-73.90702008250,43.10742529320
8,576001.00000000000,CROTS survey,H-299-P27-13,Kayaderosseras Creek,07/28/76,590132,4775424,500,17,0,17,,-73.89193355700,43.12619024730
9,576001.00000000000,CROTS survey,H-299-P27-13,Kayaderosseras Creek,07/28/76,591232,4776724,400,4,0,4,,-73.87819896010,43.13776260150
10,576001.00000000000,CROTS survey,H-299-P27-13,Kayaderosseras Creek,07/29/76,591532,4783224,100,13,5,8,,-73.87343577260,43.19624642910
11,576001.00000000000,CROTS survey,H-299-P27-13,Kayaderosseras Creek,07/29/76,592132,4783324,500,15,1,14,,-73.86603578910,43.19707378080
12,576001.00000000000,CROTS survey,H-299-P27-13,Kayaderosseras Creek,07/29/76,592932,4782624,1100,36,7,29,,-73.85630897940,43.19067367960
13,576001.00000000000,CROTS survey,H-299-P27-13,Kayaderosseras Creek,07/29/76,593032,4780024,750,7,0,7,,-73.85551587620,43.16725355210
14,778101.00000000000,General biological survey,ONT-66-11-P26-33,Cowaselon Creek,07/10/78,443062,4767069,222,26,0,26,,-75.69916764620,43.05418365040
15,778101.00000000000,General biological survey,ONT-66-11-P26-33,Cowaselon Creek,07/10/78,443311,4769481,249,19,0,19,,-75.69635607470,43.07592071280
16,778101.00000000000,General biological survey,ONT-66-11-P26-33,Cowaselon Creek,07/10/78,443473,4770198,252,11,0,11,,-75.69443915180,43.08238888940
17,778101.00000000000,General biological survey,ONT-66-11-P26-33,Cowaselon Creek,07/10/78,443914,4764858,213,23,0,23,,-75.68848361960,43.03433842600
18,778101.00000000000,General biological survey,ONT-66-11-P26-33,Cowaselon Creek,07/11/78,443005,4767568,250,22,0,22,,-75.69991862590,43.05867253220
19,778101.00000000000,General biological survey,ONT-66-11-P26-33,Cowaselon Creek,07/11/78,445477,4763032,280,43,0,43,,-75.66911970290,43.01801013830
20,778101.00000000000,General biological survey,ONT-66-11-P26-33,Cowaselon Creek,07/11/78,447656,4759424,370,27,0,27,,-75.64204176170,42.98567503470
21,778101.00000000000,General biological survey,ONT-66-11-P26-33,Cowaselon Creek,07/12/78,446511,4761201,225,27,0,27,,-75.65625546560,43.00159641010
22,778101.00000000000,General biological survey,ONT-66-11-P26-33,Cowaselon Creek,07/12/78,447757,4757215,400,34,3,31,,-75.64059648470,42.96579089300
23,778102.00000000000,General biological survey,ONT-66-11-P26-33-15,Unnamed Water,07/12/78,443638,4766311,300,15,13,2,,-75.69201844590,43.04740134230
24,778100.00000000000,General biological survey,ONT-66-11-P26-33-13,Clockville Creek,07/13/78,440183,4766207,200,10,0,10,,-75.73442480790,43.04620053870
25,778100.00000000000,General biological survey,ONT-66-11-P26-33-13,Clockville Creek,07/13/78,441175,4766668,100,18,0,18,,-75.72229483070,43.05042902880
26,778100.00000000000,General biological survey,ONT-66-11-P26-33-13,Clockville Creek,07/13/78,442305,4767329,150,12,0,12,,-75.70848945490,43.05646760720
27,778100.00000000000,General biological survey,ONT-66-11-P26-33-13,Clockville Creek,07/13/78,442476,4767344,150,6,6,0,,-75.70639129700,43.05661565210
28,778101.00000000000,General biological survey,ONT-66-11-P26-33,Cowaselon Creek,07/14/78,441558,4771933,350,10,0,10,,-75.71814581920,43.09786606890
29,778101.00000000000,General biological survey,ONT-66-11-P26-33,Cowaselon Creek,07/14/78,443690,4771990,327,8,0,8,,-75.69195510490,43.09854072280
30,779033.00000000000,General biological survey,ONT-67,Rice Creek,06/26/79,373568,4810541,300,10,0,4,6,-76.56226271880,43.43709860260
31,779033.00000000000,General biological survey,ONT-67,Rice Creek,06/26/79,374108,4810014,350,6,0,6,,-76.55547107580,43.43244598500
32,779034.00000000000,General biological survey,ONT-70,Eightmile Creek,06/27/79,369116,4807777,200,9,0,0,9,-76.61659057880,43.41145565040
33,779034.00000000000,General biological survey,ONT-70,Eightmile Creek,06/27/79,370891,4805722,300,1,0,1,,-76.59419017810,43.39326644460
34,779040.00000000000,General biological survey,ONT-71,Ninemile Creek,06/27/79,369918,4804793,300,1,0,0,1,-76.60597895730,43.38473649620
35,779040.00000000000,General biological survey,ONT-71,Ninemile Creek,06/29/79,369924,4804921,600,1,0,1,,-76.60593533190,43.38588965640
36,779042.00000000000,General biological survey,ONT-58,Little Salmon River,07/05/79,398741,4818405,400,5,0,0,5,-76.25275524280,43.51171804200
37,779042.00000000000,General biological survey,ONT-58,Little Salmon River,07/05/79,398998,4816451,600,1,0,0,1,-76.24921363090,43.49416262790
38,779042.00000000000,General biological survey,ONT-58,Little Salmon River,07/05/79,399856,4813407,500,1,0,0,1,-76.23804441300,43.46687529130
39,779038.00000000000,General biological survey,ONT-54-2-1,Tucker Creek,07/10/79,408218,4821985,300,1,0,0,1,-76.13613645310,43.54517135610
40,779034.00000000000,General biological survey,ONT-70,Eightmile Creek,08/14/79,374174,4801275,200,3,0,3,,-76.55264596410,43.35379599640
41,779033.00000000000,General biological survey,ONT-67,Rice Creek,08/15/79,373663,4810485,300,12,0,3,9,-76.56107631440,43.43661057250
42,783027.00000000000,General biological survey,ONT-66-12-43-P212-3,Dutch Hollow Brook,07/26/83,381681,4745833,100,2,0,1,1,-76.44822717900,42.85592598570
43,783027.00000000000,General biological survey,ONT-66-12-43-P212-3,Dutch Hollow Brook,07/26/83,384932,4742745,100,4,0,2,2,-76.40781531130,42.82862226510
44,783027.00000000000,General biological survey,ONT-66-12-43-P212-3,Dutch Hollow Brook,07/26/83,385723,4741933,100,3,0,1,2,-76.39797577820,42.82143065130
45,783027.00000000000,General biological survey,ONT-66-12-43-P212-3,Dutch Hollow Brook,07/26/83,386762,4740728,100,33,0,18,15,-76.38502693980,42.81073679920
46,783027.00000000000,General biological survey,ONT-66-12-43-P212-3,Dutch Hollow Brook,07/26/83,386978,4739184,100,28,0,19,9,-76.38207626520,42.79686843570
47,385001.00000000000,Population estimate,D-70-20-25-9,Little Beaver Kill,08/26/85,515775,4636509,600,8,0,8,,-74.80987700440,41.88034789460
48,385001.00000000000,Population estimate,D-70-20-25-9,Little Beaver Kill,08/26/85,517739,4634417,600,25,1,24,,-74.78626946670,41.86146402690
49,385001.00000000000,Population estimate,D-70-20-25-9,Little Beaver Kill,08/27/85,518143,4634434,600,36,0,36,,-74.78140133510,41.86160798150
50,385002.00000000000,Population estimate,D-53-2,North Br Callicoon Creek,08/29/85,498465,4625903,600,38,0,26,12,-75.01847264420,41.78497627090
51,385002.00000000000,Population estimate,D-53-2,North Br Callicoon Creek,08/29/85,498700,4626630,600,45,0,29,16,-75.01564617690,41.79152478030
52,385002.00000000000,Population estimate,D-53-2,North Br Callicoon Creek,08/29/85,502653,4628343,600,30,1,29,,-74.96806210560,41.80695036920
53,587001.00000000000,Steam protection,C-134-4-19,Halfway Creek,05/19/87,611132,4801324,300,3,3,0,,-73.62860820680,43.35655466850
54,587001.00000000000,Steam protection,C-134-4-19,Halfway Creek,05/19/87,611832,4801524,300,3,3,0,,-73.61993170620,43.35825115770
55,687998.00000000000,General biological survey,SL-25-P147,Seeley Pond,06/25/87,473729,4886223,0,0,0,0,,-75.32838513430,44.12872838780
56,587005.00000000000,CROTS survey,SLC-21-P2-10-5,Standish Brook,06/26/87,583030,4949222,300,17,16,1,,-73.95213167920,44.69156393110
57,787100.00000000000,General biological survey,SR-44-14-60,West Branch Tioughnioga R,07/12/87,404583,4717961,1000,2,0,2,,-76.16326972540,42.60817882270
58,787100.00000000000,General biological survey,SR-44-14-60,West Branch Tioughnioga R,07/13/87,403512,4720702,600,1,0,1,,-76.17678879970,42.63272490070
59,787100.00000000000,General biological survey,SR-44-14-60,West Branch Tioughnioga R,07/14/87,403557,4722537,950,22,0,22,,-76.17655137490,42.64925242780
60,787100.00000000000,General biological survey,SR-44-14-60,West Branch Tioughnioga R,07/15/87,403383,4723805,700,2,0,2,,-76.17888928870,42.66064733340
61,787100.00000000000,General biological survey,SR-44-14-60,West Branch Tioughnioga R,07/15/87,404581,4726028,900,2,1,1,,-76.16464831720,42.68081214830
62,787100.00000000000,General biological survey,SR-44-14-60,West Branch Tioughnioga R,07/16/87,407318,4733615,300,40,39,1,,-76.13248954920,42.74945858340
63,787100.00000000000,General biological survey,SR-44-14-60,West Branch Tioughnioga R,07/16/87,407519,4731491,750,95,92,3,,-76.12968671230,42.73035888290
64,787007.00000000000,General biological survey,SR-44-14-58,Trout Brook,07/17/87,409845,4716316,500,1,0,1,,-76.09886990200,42.59400048370
65,787007.00000000000,General biological survey,SR-44-14-58,Trout Brook,07/17/87,411094,4716632,500,4,3,1,,-76.08369822070,42.59699076840
66,587004.00000000000,CROTS survey,H-419-6,Unnamed Water,07/24/87,577932,4829823,300,14,14,0,,-74.03415416720,43.61731106500
67,587004.00000000000,CROTS survey,H-419-6,Unnamed Water,07/24/87,577932,4829923,300,42,42,0,,-74.03413975550,43.61821134830
68,787004.00000000000,Evaluate exp stocking water,SR-123,Wylie Brook,08/31/87,449024,4671210,500,1,1,0,,-75.61737336190,42.19138237930
69,787004.00000000000,Evaluate exp stocking water,SR-123,Wylie Brook,09/01/87,447582,4678455,500,34,34,0,,-75.63549049890,42.25653380240
70,787004.00000000000,Evaluate exp stocking water,SR-123,Wylie Brook,09/01/87,448340,4675958,500,25,25,0,,-75.62607902020,42.23409701150
71,787004.00000000000,Evaluate exp stocking water,SR-123,Wylie Brook,09/03/87,446759,4679974,500,50,50,0,,-75.64560709760,42.27015771470
72,787004.00000000000,Evaluate exp stocking water,SR-123,Wylie Brook,09/03/87,447139,4681758,500,14,14,0,,-75.64116230320,42.28624966590
73,587002.00000000000,CROTS survey,H-419,North Creek,09/09/87,578532,4829823,300,6,6,0,,-74.02671915410,43.61724800240
74,787009.00000000000,General biological survey,ONT-66-12-P296-74-17-1,Unnamed Water,12/14/87,386960,4707404,500,9,8,1,,-76.37597330370,42.51074969980
75,787010.00000000000,General biological survey,ONT-66-12-P296-74-17,Mill Creek,12/14/87,386955,4707406,500,14,9,5,,-76.37603454390,42.51076697560
76,787010.00000000000,General biological survey,ONT-66-12-P296-74-17,Mill Creek,12/14/87,387024,4707357,268,16,5,11,,-76.37518520750,42.51033589610
77,488032.00000000000,Steam protection,H-193-2-33,Spruce Creek,01/19/88,577432,4672624,75,11,11,0,,-74.06206264350,42.20194405560
78,488033.00000000000,Steam protection,SR-155-7-8,Unnamed Water,05/13/88,498432,4690323,100,3,3,0,,-75.01904243190,42.36517808850
79,488034.00000000000,Steam protection,D-71-51,Unnamed Water,05/13/88,501232,4671323,0,2,1,1,,-74.98507851620,42.19406038190
80,888050.00000000000,Reclassification,ONT-130-2-1,Unnamed Water,05/18/88,251728,4795421,300,3,0,0,3,-78.05934486970,43.27069207460
81,488030.00000000000,Steam protection,H-240-82-140A,Unnamed Water,05/19/88,564832,4673324,215,4,3,1,,-74.21459369610,42.20939423990
82,488029.00000000000,Fish kill investigation,H-240-82-147B,Gooseberry Creek,06/02/88,572932,4671324,140,7,7,0,,-74.11672792620,42.19066989340
83,488128.00000000000,Steam protection,H-240-82-147B,Gooseberry Creek,06/02/88,572932,4671524,100,3,3,0,,-74.11670284810,42.19247095210
84,788007.00000000000,General biological survey,ONT-66-12-29,Skaneateles Creek,06/06/88,380660,4763119,625,24,0,21,3,-76.46440338770,43.01138025100
85,788007.00000000000,General biological survey,ONT-66-12-29,Skaneateles Creek,06/06/88,380787,4763022,600,37,0,37,,-76.46282475930,43.01052697040
86,788007.00000000000,General biological survey,ONT-66-12-29,Skaneateles Creek,06/06/88,380955,4762712,960,38,0,36,2,-76.46069779780,43.00776263150
87,788008.00000000000,General biological survey,ONT-66-12-29,Skaneateles Creek,06/07/88,381687,4760502,600,4,0,3,1,-76.45125052380,42.98798203340
88,788050.00000000000,CROTS survey,ONT-66-12-29,Skaneateles Creek,06/07/88,381157,4767198,600,83,0,57,26,-76.45917646480,43.04817775510
89,488028.00000000000,Fish kill investigation,H-219-1,Moordener Kill,06/21/88,603233,4710324,500,3,0,3,,-73.74284552500,42.53841140140
