"Basin","Stem","Station","Species","Latitude","Longitude","SiteID","BrktrtOccupancy"
1,"1","1","blkndce",41.9493972,-71.44361748,"1 1 1",0
1,"1","1","blkndce",41.9493972,-71.44361748,"1 1 1",0
1,"1","1","brktrt",41.9493972,-71.44361748,"1 1 1",1
1,"1","1","fllfsh",41.9493972,-71.44361748,"1 1 1",0
1,"1","1","wtsuck",41.9493972,-71.44361748,"1 1 1",0
1,"1","2","brbull",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","cmnshnr",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","fllfsh",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","tssdtr",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","wtsuck",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","ylbull",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","blbck",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","blgl",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","blkcrp",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","brbull",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","carp",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","chnpick",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","cmnshnr",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","fllfsh",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","gldshnr",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","lmb",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","pmpknsd",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","tssdtr",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","wperch",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","wtsuck",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","ylbull",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","yperch",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","blgl",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","cmnshnr",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","fllfsh",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","lmb",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","tssdtr",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","wtsuck",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","blgl",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","blkcrp",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","brbull",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","carp",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","cmnshnr",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","eel",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","fllfsh",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","lmb",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","pmpknsd",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","wperch",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","wtsuck",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","ylbull",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","yperch",41.90081444,-71.39932639,"1 1 2",0
1,"1","2","blgl",41.90081444,-71.39932639,"1 1 2",0
