Basin,Stem,Station,Date---,Species,Average,Minimum,Maximum,Body,Town,Latitude,Longitude,,,,,,,
1,1,1,920519,blkndce,43.7,41,47,West Sneech Brk/Albion Rd.,Cumberland,41.9493972,-71.44361748,,,,,,,
1,1,1,940926,blkndce,30.0,30,30,West Sneech Brk./Albion Rd,Cumberland,41.9493972,-71.44361748,,,,,,,
1,1,1,940926,brktrt,204.0,204,204,West Sneech Brk./Albion Rd,Cumberland,41.9493972,-71.44361748,,,,,,,
1,1,1,940926,fllfsh,125.5,112,140,West Sneech Brk./Albion Rd,Cumberland,41.9493972,-71.44361748,,,,,,,
1,1,1,940926,wtsuck,125.3,112,136,West Sneech Brk./Albion Rd,Cumberland,41.9493972,-71.44361748,,,,,,,
1,1,2,930817,brbull,40.0,40,40,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,930817,cmnshnr,55.4,52,59,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,930817,fllfsh,54.7,47,65,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,930817,tssdtr,62.0,46,78,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,930817,wtsuck,60.3,59,62,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,930817,ylbull,55.0,55,55,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,930826,blbck,69.7,62,82,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,930826,blgl,132.3,77,190,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,930826,blkcrp,194.0,194,194,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,930826,brbull,302.6,280,343,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,930826,carp,408.3,330,550,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,930826,chnpick,430.0,430,430,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,930826,cmnshnr,73.7,48,127,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,930826,fllfsh,190.8,125,235,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,930826,gldshnr,139.2,73,206,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,930826,lmb,203.9,68,330,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,930826,pmpknsd,124.2,45,167,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,930826,tssdtr,57.1,43,64,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,930826,wperch,261.8,220,283,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,930826,wtsuck,370.9,165,482,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,930826,ylbull,152.0,82,222,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,930826,yperch,-,-,-,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,930826.1,blgl,110.0,110,110,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,930826.1,cmnshnr,59.5,59,60,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,930826.1,fllfsh,61.0,47,102,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,930826.1,lmb,0.0,0,0,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,930826.1,tssdtr,53.0,44,62,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,930826.1,wtsuck,64.0,64,64,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,950425,blgl,,47,190,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,950425,blkcrp,198.5,156,241,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,950425,brbull,,180,351,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,950425,carp,,555,650,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,950425,cmnshnr,,63,142,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,950425,eel,305.0,305,305,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,950425,fllfsh,,109,128,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,950425,lmb,302.0,302,302,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,950425,pmpknsd,,94,160,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,950425,wperch,284.0,264,304,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,950425,wtsuck,301.2,126,474,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,950425,ylbull,228.0,182,274,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,950425,yperch,-,-,-,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,970909,blgl,106.8,28,180,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,970909,blkcrp,162.0,154,170,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,970909,carp,700.0,700,700,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,970909,chnpick,400.3,297,525,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,970909,cmnshnr,102.7,60,132,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,970909,gldshnr,83.4,66,134,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,970909,lmb,165.0,54,455,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,970909,npike,870.0,870,870,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
1,1,2,970909,pmpknsd,105.9,25,174,Blackstone R./Valley Falls,Cumberland/Lincoln/Central Falls,41.90081444,-71.39932639,,,,,,,
