Basin,Stem,Station,Date,Species,Average,Minimum,Maximum,Body,Town,Latitude,Longitude,,,,,,
10,0,1,990819,bndkilli,46,46,46,Cross Mills Bk/Old Post Rd-TownDockRd+11MillbrookCt off E.ArnoldaDr,Charlestown,41.38265,-71.64241,,,,,,
10,0,1,990819,bndsnfsh,62.125,53,72,Cross Mills Bk/Old Post Rd-TownDockRd+11MillbrookCt off E.ArnoldaDr,Charlestown,41.38265,-71.64241,,,,,,
10,0,1,990819,eel,203.3928571,80,340,Cross Mills Bk/Old Post Rd-TownDockRd+11MillbrookCt off E.ArnoldaDr,Charlestown,41.38265,-71.64241,,,,,,
10,0,1,990819,gldshnr,118,118,118,Cross Mills Bk/Old Post Rd-TownDockRd+11MillbrookCt off E.ArnoldaDr,Charlestown,41.38265,-71.64241,,,,,,
10,0,1,990819,lmb,100.5,64,138,Cross Mills Bk/Old Post Rd-TownDockRd+11MillbrookCt off E.ArnoldaDr,Charlestown,41.38265,-71.64241,,,,,,
10,0,1,990819,pmpknsd,143,143,143,Cross Mills Bk/Old Post Rd-TownDockRd+11MillbrookCt off E.ArnoldaDr,Charlestown,41.38265,-71.64241,,,,,,
10,0,1,990819,rdfnpick,160,160,160,Cross Mills Bk/Old Post Rd-TownDockRd+11MillbrookCt off E.ArnoldaDr,Charlestown,41.38265,-71.64241,,,,,,
10,0,1,1000420,alewife,adult,,,Cross Mills Bk/Old Post Rd,Charlestown,41.38265,-71.64241,,,,,,
10,0,1,1040729,insside,70,70,70,Cross Mills B./Millbrook Ct.,Charlestown,41.38265,-71.64241,,,,,,
10,0,1,1040730,insside,70,70,70,Cross Mills B./Millbrook Ct.,Charlestown,41.38265,-71.64241,,,,,,
10,0,2,990819,blgl,67,67,67,Factory Bk/MatunuckSchoolHouseRd&GreenHillBchRd,South Kingstown,41.38132,-71.60286,,,,,,
10,0,2,990819,brktrt,104,50,231,Factory Bk/MatunuckSchoolHouseRd&GreenHillBchRd,South Kingstown,41.38132,-71.60286,,,,,,
10,0,2,990819,chnpick,85.5,75,96,Factory Bk/MatunuckSchoolHouseRd&GreenHillBchRd,South Kingstown,41.38132,-71.60286,,,,,,
10,0,2,990819,eel,223.0833333,90,330,Factory Bk/MatunuckSchoolHouseRd&GreenHillBchRd,South Kingstown,41.38132,-71.60286,,,,,,
10,0,2,990819,lmb,65,49,82,Factory Bk/MatunuckSchoolHouseRd&GreenHillBchRd,South Kingstown,41.38132,-71.60286,,,,,,
10,0,2,1000331,alewife,279,279,279,Factory Bk/Matunuck Schl Hs Rd,South Kingstown,41.38132,-71.60286,,,,,,
10,0,3,990820,brktrt,92.33333333,47,171,Unnamed/MatunuckSchoolHouseRd&SandPiperRd,South Kingstown,41.38020,-71.61085,,,,,,
10,0,3,990820,eel,223.5714286,115,330,Unnamed/MatunuckSchoolHouseRd&SandPiperRd,South Kingstown,41.38020,-71.61085,,,,,,
10,0,4,990823,9spine,35.03333333,22,48,Mill Pond Bk/Moonstone Beach Rd (near Mill Pond),South Kingstown,41.39114,-71.57732,,,,,,
10,0,4,990823,brktrt,84.47368421,58,112,Mill Pond Bk/Moonstone Beach Rd (near Mill Pond),South Kingstown,41.39114,-71.57732,,,,,,
10,0,4,990823,eel,375,375,375,Mill Pond Bk/Moonstone Beach Rd (near Mill Pond),South Kingstown,41.39114,-71.57732,,,,,,
10,0,5,990824,9spine,36,33,40,Smelt Bk/568 Old Post Rd(at cove),South Kingstown,41.41436,-71.51274,,,,,,
10,0,5,990824,blgl,59.33333333,49,71,Smelt Bk/568 Old Post Rd(at cove),South Kingstown,41.41436,-71.51274,,,,,,
10,0,5,990824,bndkilli,41,35,49,Smelt Bk/568 Old Post Rd(at cove),South Kingstown,41.41436,-71.51274,,,,,,
10,0,5,990824,brktrt,129.7142857,61,186,Smelt Bk/568 Old Post Rd(at cove),South Kingstown,41.41436,-71.51274,,,,,,
10,0,5,990824,eel,210.6666667,125,295,Smelt Bk/568 Old Post Rd(at cove),South Kingstown,41.41436,-71.51274,,,,,,
10,0,5,990824,pmpknsd,67.9,48,80,Smelt Bk/568 Old Post Rd(at cove),South Kingstown,41.41436,-71.51274,,,,,,
10,0,5,990824,tssdtr,56.83333333,39,64,Smelt Bk/568 Old Post Rd(at cove),South Kingstown,41.41436,-71.51274,,,,,,
10,0,5,1000417,alewife,265,265,265,Smelt Bk/568 Old Post Rd,South Kingstown,41.41436,-71.51274,,,,,,
10,0,5,1120502,brktrt,0,0,0,Smelt Bk/568 Old Post Rd(at cove),South Kingstown,412450.9,713048.9,,,,,,
10,0,5,1120502,eel,0,0,0,Smelt Bk/568 Old Post Rd(at cove),South Kingstown,412450.9,713048.9,,,,,,
10,0,5,1120502,pmpknsd,0,0,0,Smelt Bk/568 Old Post Rd(at cove),South Kingstown,412450.9,713048.9,,,,,,
10,0,5,1120502,tssdtr,0,0,0,Smelt Bk/568 Old Post Rd(at cove),South Kingstown,412450.9,713048.9,,,,,,
10,0,6,990824,blgl,60.33333333,41,94,Smelt Bk/458 Old Post Rd(near Post Rd),South Kingstown,41.43151,-71.52246,,,,,,
10,0,6,990824,brktrt,157.6666667,146,171,Smelt Bk/458 Old Post Rd(near Post Rd),South Kingstown,41.43151,-71.52246,,,,,,
10,0,6,990824,eel,186,112,305,Smelt Bk/458 Old Post Rd(near Post Rd),South Kingstown,41.43151,-71.52246,,,,,,
10,0,6,990824,lmb,61.5,58,65,Smelt Bk/458 Old Post Rd(near Post Rd),South Kingstown,41.43151,-71.52246,,,,,,
10,0,6,990824,pmpknsd,85.66666667,72,101,Smelt Bk/458 Old Post Rd(near Post Rd),South Kingstown,41.43151,-71.52246,,,,,,
10,0,6,990824,rdfnpick,155.5,135,182,Smelt Bk/458 Old Post Rd(near Post Rd),South Kingstown,41.43151,-71.52246,,,,,,
10,0,6,1120426,brktrt,no measuremewnts,,,Smelt Bk/458 Old Post Rd(near Post Rd),South Kingstown,412525.6,713112.7,,,,,,
10,0,6,1120426,eel,no measuremewnts,,,Smelt Bk/458 Old Post Rd(near Post Rd),South Kingstown,412525.6,713112.7,,,,,,
10,0,6,1120426,pmpknsd,no measuremewnts,,,Smelt Bk/458 Old Post Rd(near Post Rd),South Kingstown,412525.6,713112.7,,,,,,
10,0,6,1120426,rdfnpick,no measuremewnts,,,Smelt Bk/458 Old Post Rd(near Post Rd),South Kingstown,412525.6,713112.7,,,,,,
10,0,6,1120426,yperch,no measuremewnts,,,Smelt Bk/458 Old Post Rd(near Post Rd),South Kingstown,412525.6,713112.7,,,,,,
10,0,7,990831,brktrt,94,50,137,Shelter Harbor B./Grieg St.,Westerly,41.34496,-71.73792,,,,,,
10,0,8,990909,brktrt,94.56,42,172,Shelter Harbor B./Bach St.,Westerly,41.34128,-71.73805,,,,,,
10,0,8,990909,eel,240,240,240,Shelter Harbor B./Bach St.,Westerly,41.34128,-71.73805,,,,,,
10,0,9,1000530,alewife,260.6470588,161,290,Pausacaco Pond,North Kingstown,41.52278,-71.45078,,,,,,
10,0,9,1000530,blbck,263.3333333,255,280,Pausacaco Pond,North Kingstown,41.52278,-71.45078,,,,,,
10,0,9,1000530,blgl,152.2352941,51,208,Pausacaco Pond,North Kingstown,41.52278,-71.45078,,,,,,
10,0,9,1000530,blkcrp,351,351,351,Pausacaco Pond,North Kingstown,41.52278,-71.45078,,,,,,
10,0,9,1000530,brbull,312,225,350,Pausacaco Pond,North Kingstown,41.52278,-71.45078,,,,,,
10,0,9,1000530,chnpick,313,250,440,Pausacaco Pond,North Kingstown,41.52278,-71.45078,,,,,,
10,0,9,1000530,eel,500,410,590,Pausacaco Pond,North Kingstown,41.52278,-71.45078,,,,,,
10,0,9,1000530,gldshnr,139.7,86,241,Pausacaco Pond,North Kingstown,41.52278,-71.45078,,,,,,
10,0,9,1000530,lmb,286.826087,65,550,Pausacaco Pond,North Kingstown,41.52278,-71.45078,,,,,,
10,0,9,1000530,pmpknsd,170.25,123,195,Pausacaco Pond,North Kingstown,41.52278,-71.45078,,,,,,
10,0,9,1000530,wperch,281.6666667,265,295,Pausacaco Pond,North Kingstown,41.52278,-71.45078,,,,,,
10,0,9,1000530,yperch,224.3333333,101,302,Pausacaco Pond,North Kingstown,41.52278,-71.45078,,,,,,
10,0,10,1000601,blgl,141.4857143,42,205,Silver Spring Lake,North Kingstown,41.53854,-71.47398,,,,,,
10,0,10,1000601,blkcrp,222.25,166,260,Silver Spring Lake,North Kingstown,41.53854,-71.47398,,,,,,
10,0,10,1000601,brbull,349,349,349,Silver Spring Lake,North Kingstown,41.53854,-71.47398,,,,,,
10,0,10,1000601,brntrt,294.2142857,245,321,Silver Spring Lake,North Kingstown,41.53854,-71.47398,,,,,,
10,0,10,1000601,chnpick,365.25,319,391,Silver Spring Lake,North Kingstown,41.53854,-71.47398,,,,,,
10,0,10,1000601,eel,288.3333333,245,330,Silver Spring Lake,North Kingstown,41.53854,-71.47398,,,,,,
10,0,10,1000601,gldshnr,118.9375,79,226,Silver Spring Lake,North Kingstown,41.53854,-71.47398,,,,,,
10,0,10,1000601,lmb,272.5714286,103,401,Silver Spring Lake,North Kingstown,41.53854,-71.47398,,,,,,
10,0,10,1000601,pmpknsd,111.3333333,48,154,Silver Spring Lake,North Kingstown,41.53854,-71.47398,,,,,,
10,0,10,1000601,rnbwtrt,307,236,345,Silver Spring Lake,North Kingstown,41.53854,-71.47398,,,,,,
10,0,10,1000601,yperch,175.3333333,95,226,Silver Spring Lake,North Kingstown,41.53854,-71.47398,,,,,,
10,0,11,1000724,chnpick,91,82,97,Tributary to Carr Pond/Rt. 138,North Kingstown,41.52872,-71.44572,,,,,,
10,0,11,1000724,rdfnpick,74.625,57,81,Tributary to Carr Pond/Rt. 138,North Kingstown,41.52872,-71.44572,,,,,,
10,0,12,1020506,alewife,267.4285714,251,286,Mattatuxet R./Tower Hill Rd.,North Kingstown,41.53723,-71.46838,,,,,,
10,0,12,1020506,brbull,113.3333333,70,137,Mattatuxet R./Tower Hill Rd.,North Kingstown,41.53723,-71.46838,,,,,,
10,0,12,1020506,brktrt,207,207,207,Mattatuxet R./Tower Hill Rd.,North Kingstown,41.53723,-71.46838,,,,,,
10,0,12,1020506,brntrt,304,302,306,Mattatuxet R./Tower Hill Rd.,North Kingstown,41.53723,-71.46838,,,,,,
10,0,12,1020506,rnbwtrt,335,335,335,Mattatuxet R./Tower Hill Rd.,North Kingstown,41.53723,-71.46838,,,,,,
10,0,12,1000724,brbull,95,44,121,Mattatuxet River/Tower Hill Rd.,North Kingstown,41.53723,-71.46838,,,,,,
10,0,12,1000724,chnpick,124.2,70,188,Mattatuxet River/Tower Hill Rd.,North Kingstown,41.53723,-71.46838,,,,,,
10,0,12,1000724,eel,220.2352941,112,340,Mattatuxet River/Tower Hill Rd.,North Kingstown,41.53723,-71.46838,,,,,,
10,0,12,1000724,lmb,48,48,48,Mattatuxet River/Tower Hill Rd.,North Kingstown,41.53723,-71.46838,,,,,,
10,0,12,1000724,swmpdtr,45,45,45,Mattatuxet River/Tower Hill Rd.,North Kingstown,41.53723,-71.46838,,,,,,
10,0,13,1010612,blgl,211.3,180,236,Simmons Mill Pond,Little Compton,41.53719,-71.14750,,,,,,
10,0,13,1010612,blkcrp,226.75,155,302,Simmons Mill Pond,Little Compton,41.53719,-71.14750,,,,,,
10,0,13,1010612,brbull,331.75,300,357,Simmons Mill Pond,Little Compton,41.53719,-71.14750,,,,,,
10,0,13,1010612,brntrt,340.5,311,351,Simmons Mill Pond,Little Compton,41.53719,-71.14750,,,,,,
