Basin,Stem,Station,Date,Species,Average,Minimum,Maximum,Body,Town,Latitude,Longitude,,,,,,,,
2,1,1,920609,BlkNDce,53.5,43,64,"Moosup R., Rt 14, Plainfield Pike",Coventry,41.71167,-71.76222,,,,,,,,
2,1,1,920609,CmnShnr,75.7,68,85,"Moosup R., Rt 14, Plainfield Pike",Coventry,41.71167,-71.76222,,,,,,,,
2,1,1,930823,blkndce,69.3,60,81,"Moosup R., Rt 14, Plainfield Pike",Coventry,41.71167,-71.76222,,,,,,,,
2,1,1,930823,blkndce,0.0,0,0,"Moosup R., Rt 14, Plainfield Pike",Coventry,41.71167,-71.76222,,,,,,,,
2,1,1,930823,brntrt,250.0,250,250,"Moosup R., Rt 14, Plainfield Pike",Coventry,41.71167,-71.76222,,,,,,,,
2,1,1,930823,chnpick,196.0,162,230,"Moosup R., Rt 14, Plainfield Pike",Coventry,41.71167,-71.76222,,,,,,,,
2,1,1,930823,cmnshnr,94.4,90,100,"Moosup R., Rt 14, Plainfield Pike",Coventry,41.71167,-71.76222,,,,,,,,
2,1,1,930823,cmnshnr,0.0,0,0,"Moosup R., Rt 14, Plainfield Pike",Coventry,41.71167,-71.76222,,,,,,,,
2,1,1,930823,fllfsh,136.0,122,149,"Moosup R., Rt 14, Plainfield Pike",Coventry,41.71167,-71.76222,,,,,,,,
2,1,1,930823,lmb,74.0,60,88,"Moosup R., Rt 14, Plainfield Pike",Coventry,41.71167,-71.76222,,,,,,,,
2,1,1,930823,lngndc,99.7,96,103,"Moosup R., Rt 14, Plainfield Pike",Coventry,41.71167,-71.76222,,,,,,,,
2,1,1,930823,rdbrst,120.0,120,120,"Moosup R., Rt 14, Plainfield Pike",Coventry,41.71167,-71.76222,,,,,,,,
2,1,1,930823,tssdtr,54.1,30,83,"Moosup R., Rt 14, Plainfield Pike",Coventry,41.71167,-71.76222,,,,,,,,
2,1,1,930823,wtsuck,155.2,120,187,"Moosup R., Rt 14, Plainfield Pike",Coventry,41.71167,-71.76222,,,,,,,,
2,1,1,930823,wtsuck,0.0,0,0,"Moosup R., Rt 14, Plainfield Pike",Coventry,41.71167,-71.76222,,,,,,,,
2,1,2,920609,CmnShnr,74.0,74,74,Moosup R./Falls/Carbuncle Pond,Coventry,41.69927,-71.76727,,,,,,,,
2,1,2,920609,lngndc,53.0,46,60,Moosup R./Falls/Carbuncle Pond,Coventry,41.69927,-71.76727,,,,,,,,
2,1,2,920609,Pmpknsd,82.0,82,82,Moosup R./Falls/Carbuncle Pond,Coventry,41.69927,-71.76727,,,,,,,,
2,1,2,920609,Tssdtr,50.0,50,50,Moosup R./Falls/Carbuncle Pond,Coventry,41.69927,-71.76727,,,,,,,,
2,1,2,930820,blkndce,49.4,30,68,Moosup R./Falls/Carbuncle Pond,Coventry,41.69927,-71.76727,,,,,,,,
2,1,2,930820,brktrt,102.0,102,102,Moosup R./Falls/Carbuncle Pond,Coventry,41.69927,-71.76727,,,,,,,,
2,1,2,930820,brntrt,82.0,82,82,Moosup R./Falls/Carbuncle Pond,Coventry,41.69927,-71.76727,,,,,,,,
2,1,2,930820,chnpick,146.0,146,146,Moosup R./Falls/Carbuncle Pond,Coventry,41.69927,-71.76727,,,,,,,,
2,1,2,930820,cmnshnr,70.2,48,115,Moosup R./Falls/Carbuncle Pond,Coventry,41.69927,-71.76727,,,,,,,,
2,1,2,930820,eel,305.0,305,305,Moosup R./Falls/Carbuncle Pond,Coventry,41.69927,-71.76727,,,,,,,,
2,1,2,930820,lmb,56.7,49,70,Moosup R./Falls/Carbuncle Pond,Coventry,41.69927,-71.76727,,,,,,,,
2,1,2,930820,lngndc,70.3,36,100,Moosup R./Falls/Carbuncle Pond,Coventry,41.69927,-71.76727,,,,,,,,
2,1,2,930820,rdbrst,88.8,47,112,Moosup R./Falls/Carbuncle Pond,Coventry,41.69927,-71.76727,,,,,,,,
2,1,2,930820,tssdtr,38.0,38,38,Moosup R./Falls/Carbuncle Pond,Coventry,41.69927,-71.76727,,,,,,,,
2,1,2,930820,wtsuck,47.2,33,57,Moosup R./Falls/Carbuncle Pond,Coventry,41.69927,-71.76727,,,,,,,,
2,1,2,930820,wtsuck,51.6,36,62,Moosup R./Falls/Carbuncle Pond,Coventry,41.69927,-71.76727,,,,,,,,
2,1,2,930825,dace,0.0,0,0,Moosup R./Falls/Carbuncle Pond,Coventry,41.69927,-71.76727,,,,,,,,
2,1,2,930825,lmb,254.0,254,254,Moosup R./Falls/Carbuncle Pond,Coventry,41.69927,-71.76727,,,,,,,,
2,1,2,930825,rdbrst,0.0,0,0,Moosup R./Falls/Carbuncle Pond,Coventry,41.69927,-71.76727,,,,,,,,
2,1,2,930825,salmonid,0.0,0,0,Moosup R./Falls/Carbuncle Pond,Coventry,41.69927,-71.76727,,,,,,,,
2,1,2,930825,tssdtr,0.0,0,0,Moosup R./Falls/Carbuncle Pond,Coventry,41.69927,-71.76727,,,,,,,,
2,1,2,930825,wtsuck,305.0,305,305,Moosup R./Falls/Carbuncle Pond,Coventry,41.69927,-71.76727,,,,,,,,
2,1,3,920901,blkndce,63.0,58,68,"Buckshorn Brook, Lewis Farm Rd.",Coventry,41.69563,-71.75728,,,,,,,,
2,1,3,920901,brktrt,104.7,77,145,"Buckshorn Brook, Lewis Farm Rd.",Coventry,41.69563,-71.75728,,,,,,,,
2,1,3,920901,chnpick,196.0,196,196,"Buckshorn Brook, Lewis Farm Rd.",Coventry,41.69563,-71.75728,,,,,,,,
2,1,3,920901,cmnshnr,93.9,64,115,"Buckshorn Brook, Lewis Farm Rd.",Coventry,41.69563,-71.75728,,,,,,,,
2,1,3,920901,eel,306.0,306,306,"Buckshorn Brook, Lewis Farm Rd.",Coventry,41.69563,-71.75728,,,,,,,,
2,1,3,920901,lngndc,80.6,7,98,"Buckshorn Brook, Lewis Farm Rd.",Coventry,41.69563,-71.75728,,,,,,,,
2,1,3,920901,pmpknsd,94.0,73,115,"Buckshorn Brook, Lewis Farm Rd.",Coventry,41.69563,-71.75728,,,,,,,,
2,1,3,920901,tssdtr,54.6,37,68,"Buckshorn Brook, Lewis Farm Rd.",Coventry,41.69563,-71.75728,,,,,,,,
2,1,3,920901,wtsuck,103.5,92,115,"Buckshorn Brook, Lewis Farm Rd.",Coventry,41.69563,-71.75728,,,,,,,,
2,1,3,930825,blkndce,54.0,28,75,Buckshorn Brk/Lewis Farm Rd,Coventry,41.69563,-71.75728,,,,,,,,
2,1,3,930825,brktrt,86.7,60,148,Buckshorn Brk/Lewis Farm Rd,Coventry,41.69563,-71.75728,,,,,,,,
2,1,3,930825,brntrt,313.0,313,313,Buckshorn Brk/Lewis Farm Rd,Coventry,41.69563,-71.75728,,,,,,,,
2,1,3,930825,cmnshnr,97.9,81,116,Buckshorn Brk/Lewis Farm Rd,Coventry,41.69563,-71.75728,,,,,,,,
2,1,3,930825,fllfsh,45.2,38,53,Buckshorn Brk/Lewis Farm Rd,Coventry,41.69563,-71.75728,,,,,,,,
2,1,3,930825,lmb,59.0,52,66,Buckshorn Brk/Lewis Farm Rd,Coventry,41.69563,-71.75728,,,,,,,,
2,1,3,930825,lngndc,96.3,72,125,Buckshorn Brk/Lewis Farm Rd,Coventry,41.69563,-71.75728,,,,,,,,
2,1,3,930825,tssdtr,61.9,51,71,Buckshorn Brk/Lewis Farm Rd,Coventry,41.69563,-71.75728,,,,,,,,
2,1,3,930825,wtsuck,61.3,31,175,Buckshorn Brk/Lewis Farm Rd,Coventry,41.69563,-71.75728,,,,,,,,
2,1,4,930511,blgl,156.8,52,223,Carbuncle Pond,Coventry,41.69806,-71.77417,,,,,,,,
2,1,4,930511,eel,371.7,275,470,Carbuncle Pond,Coventry,41.69806,-71.77417,,,,,,,,
2,1,4,930511,lmb,258.4,118,542,Carbuncle Pond,Coventry,41.69806,-71.77417,,,,,,,,
2,1,4,930511,pmpknsd,180.8,150,222,Carbuncle Pond,Coventry,41.69806,-71.77417,,,,,,,,
2,1,4,930511,rdbrst,164.8,147,183,Carbuncle Pond,Coventry,41.69806,-71.77417,,,,,,,,
2,1,4,930511,wperch,311.0,297,325,Carbuncle Pond,Coventry,41.69806,-71.77417,,,,,,,,
2,1,4,930511,wtsuck,162.0,162,162,Carbuncle Pond,Coventry,41.69806,-71.77417,,,,,,,,
2,1,4,930511,yperch,141.4,82,245,Carbuncle Pond,Coventry,41.69806,-71.77417,,,,,,,,
2,1,4,930521,blgl,150.8,60,224,Carbuncle Pond,Coventry,41.69806,-71.77417,,,,,,,,
2,1,4,930521,brbull,308.0,308,308,Carbuncle Pond,Coventry,41.69806,-71.77417,,,,,,,,
2,1,4,930521,eel,436.7,330,600,Carbuncle Pond,Coventry,41.69806,-71.77417,,,,,,,,
2,1,4,930521,lmb,215.9,86,580,Carbuncle Pond,Coventry,41.69806,-71.77417,,,,,,,,
2,1,4,930521,pmpknsd,223.0,217,229,Carbuncle Pond,Coventry,41.69806,-71.77417,,,,,,,,
2,1,4,930521,rdbrst,152.0,144,160,Carbuncle Pond,Coventry,41.69806,-71.77417,,,,,,,,
2,1,4,930521,wperch,290.0,290,290,Carbuncle Pond,Coventry,41.69806,-71.77417,,,,,,,,
2,1,4,930521,yperch,140.2,128,166,Carbuncle Pond,Coventry,41.69806,-71.77417,,,,,,,,
2,1,4,1020723,blgl,128.0,128,128,Carbuncle Pond,Coventry,41.69806,-71.77417,,,,,,,,
2,1,4,1020723,bndkilli,61.1,37,84,Carbuncle Pond,Coventry,41.69806,-71.77417,,,,,,,,
2,1,4,1020723,gldshnr,98.0,98,98,Carbuncle Pond,Coventry,41.69806,-71.77417,,,,,,,,
2,1,4,1020723,lmb,42.0,42,42,Carbuncle Pond,Coventry,41.69806,-71.77417,,,,,,,,
2,1,4,1020723,lmb,75.3,45,136,Carbuncle Pond,Coventry,41.69806,-71.77417,,,,,,,,
2,1,4,1020723,rdbrst,69.0,63,75,Carbuncle Pond,Coventry,41.69806,-71.77417,,,,,,,,
2,1,4,1020723,rdbrst,90.0,90,90,Carbuncle Pond,Coventry,41.69806,-71.77417,,,,,,,,
2,1,5,930702,brbull,168.3,165,170,"Roaring Brk, Hopkins Hollow Rd",Coventry,41.67000,-71.75333,,,,,,,,
2,1,5,930702,brktrt,190.3,160,256,"Roaring Brk, Hopkins Hollow Rd",Coventry,41.67000,-71.75333,,,,,,,,
2,1,5,930702,brktrt,0.0,0,0,"Roaring Brk, Hopkins Hollow Rd",Coventry,41.67000,-71.75333,,,,,,,,
2,1,5,930702,chnpick,158.0,92,210,"Roaring Brk, Hopkins Hollow Rd",Coventry,41.67000,-71.75333,,,,,,,,
2,1,5,930702,eel,0.0,0,0,"Roaring Brk, Hopkins Hollow Rd",Coventry,41.67000,-71.75333,,,,,,,,
2,1,5,930702,ictalurid sp,-,-,-,"Roaring Brk, Hopkins Hollow Rd",Coventry,41.67000,-71.75333,,,,,,,,
2,1,5,930702,pmpknsd,119.3,107,132,"Roaring Brk, Hopkins Hollow Rd",Coventry,41.67000,-71.75333,,,,,,,,
2,1,5,930702,tssdtr,64.8,55,71,"Roaring Brk, Hopkins Hollow Rd",Coventry,41.67000,-71.75333,,,,,,,,
2,1,5,930702,wtcat,139.0,132,146,"Roaring Brk, Hopkins Hollow Rd",Coventry,41.67000,-71.75333,,,,,,,,
2,1,6,930702,blkndce,92.0,92,92,Moosup R./off Potter Rd.,Foster,41.72797,-71.75450,,,,,,,,
2,1,6,930702,brbull,92.8,71,105,Moosup R./off Potter Rd.,Foster,41.72797,-71.75450,,,,,,,,
2,1,6,930702,chnpick,99.2,52,168,Moosup R./off Potter Rd.,Foster,41.72797,-71.75450,,,,,,,,
2,1,6,930702,eel,0.0,0,0,Moosup R./off Potter Rd.,Foster,41.72797,-71.75450,,,,,,,,
2,1,6,930702,fllfsh,127.3,29,182,Moosup R./off Potter Rd.,Foster,41.72797,-71.75450,,,,,,,,
2,1,6,930702,lngndc,98.5,85,115,Moosup R./off Potter Rd.,Foster,41.72797,-71.75450,,,,,,,,
2,1,6,930702,rdbrst,87.3,65,120,Moosup R./off Potter Rd.,Foster,41.72797,-71.75450,,,,,,,,
2,1,6,930702,tssdtr,44.7,25,62,Moosup R./off Potter Rd.,Foster,41.72797,-71.75450,,,,,,,,
2,1,6,930702,wtsuck,186.3,148,259,Moosup R./off Potter Rd.,Foster,41.72797,-71.75450,,,,,,,,
2,1,6,930702,yperch,102.0,102,102,Moosup R./off Potter Rd.,Foster,41.72797,-71.75450,,,,,,,,
2,1,7,930714,chnpick,168.8,93,215,Moosup R./Harrington Rd.,Foster,41.75193,-71.75169,,,,,,,,
2,1,7,930714,eel,305.0,305,305,Moosup R./Harrington Rd.,Foster,41.75193,-71.75169,,,,,,,,
2,1,7,930714,fllfsh,147.0,147,147,Moosup R./Harrington Rd.,Foster,41.75193,-71.75169,,,,,,,,
2,1,7,930714,lmb,89.5,58,121,Moosup R./Harrington Rd.,Foster,41.75193,-71.75169,,,,,,,,
2,1,7,930714,pmpknsd,86.6,68,116,Moosup R./Harrington Rd.,Foster,41.75193,-71.75169,,,,,,,,
2,1,7,930714,rdbrst,92.0,92,92,Moosup R./Harrington Rd.,Foster,41.75193,-71.75169,,,,,,,,
2,1,7,930714,tssdtr,60.3,51,80,Moosup R./Harrington Rd.,Foster,41.75193,-71.75169,,,,,,,,
2,1,7,930714,wtsuck,101.0,35,167,Moosup R./Harrington Rd.,Foster,41.75193,-71.75169,,,,,,,,
2,1,7,930714,yperch,103.9,85,135,Moosup R./Harrington Rd.,Foster,41.75193,-71.75169,,,,,,,,
2,1,8,930714,brktrt,112.1,51,203,Trib/Moosup/S.Killingly Rd.,Foster,41.77411,-71.75465,,,,,,,,
2,1,9,930716,brbull,106.7,90,140,Trib/Moosup/Johnson Rd.,Foster,41.73716,-71.74399,,,,,,,,
2,1,9,930716,pmpknsd,57.0,57,57,Trib/Moosup/Johnson Rd.,Foster,41.73716,-71.74399,,,,,,,,
2,1,9,930716,tssdtr,38.7,28,72,Trib/Moosup/Johnson Rd.,Foster,41.73716,-71.74399,,,,,,,,
2,1,10,930716,chnpick,142.3,125,178,Trib/W.Meadow Bk/Walker Rd.,Foster,41.76776,-71.73215,,,,,,,,
2,1,11,930719,blkndce,58.8,33,74,Quanduck Bk./Plain Woods Rd.,Foster,41.73914,-71.78912,,,,,,,,
2,1,11,930719,brntrt,226.5,180,273,Quanduck Bk./Plain Woods Rd.,Foster,41.73914,-71.78912,,,,,,,,
2,1,11,930719,chnpick,186.7,165,207,Quanduck Bk./Plain Woods Rd.,Foster,41.73914,-71.78912,,,,,,,,
2,1,11,930719,cmnshnr,85.1,58,112,Quanduck Bk./Plain Woods Rd.,Foster,41.73914,-71.78912,,,,,,,,
2,1,11,930719,fllfsh,110.2,57,135,Quanduck Bk./Plain Woods Rd.,Foster,41.73914,-71.78912,,,,,,,,
2,1,11,930719,lngndc,87.2,58,115,Quanduck Bk./Plain Woods Rd.,Foster,41.73914,-71.78912,,,,,,,,
2,1,11,930719,rdbrst,99.0,99,99,Quanduck Bk./Plain Woods Rd.,Foster,41.73914,-71.78912,,,,,,,,
2,1,11,930719,tssdtr,54.2,24,72,Quanduck Bk./Plain Woods Rd.,Foster,41.73914,-71.78912,,,,,,,,
2,1,11,930719,wtsuck,105.7,31,168,Quanduck Bk./Plain Woods Rd.,Foster,41.73914,-71.78912,,,,,,,,
