Basin,Stem,Station,Date,Species,Average,Minimum,Maximum,Body,Town,Latitude,Longitude,,,,,,,
7,0,1,1040811,brktrt,171.4,80,205,MawneyB./Middle Rd.,East Greenwich,41.64296,-71.52734,,,,,,,
7,0,1,1040811,rdfnpick,114.8,73,172,MawneyB./Middle Rd.,East Greenwich,41.64296,-71.52734,,,,,,,
7,0,1,970812,brktrt,126.3,55,205,Mawney Bk/Middle Rd,East Greenwich,41.64296,-71.52734,,,,,,,
7,0,1,970812,eel,255.0,210,300,Mawney Bk/Middle Rd,East Greenwich,41.64296,-71.52734,,,,,,,
7,0,1,970812,rdfnpick,136.6,123,147,Mawney Bk/Middle Rd,East Greenwich,41.64296,-71.52734,,,,,,,
7,0,2,1040811,brktrt,102.1,51,215,Frenchtown B./Tillinghast Rd.,East Greenwich,41.62973,-71.51361,,,,,,,
7,0,2,1040811,eel,233.3,200,300,Frenchtown B./Tillinghast Rd.,East Greenwich,41.62973,-71.51361,,,,,,,
7,0,2,1040811,pmpknsd,32.0,32,32,Frenchtown B./Tillinghast Rd.,East Greenwich,41.62973,-71.51361,,,,,,,
7,0,2,970814,brktrt,75.0,47,130,Frenchtown Bk/Tillinghast Rd,East Greenwich,41.62973,-71.51361,,,,,,,
7,0,2,970814,eel,246.0,185,320,Frenchtown Bk/Tillinghast Rd,East Greenwich,41.62973,-71.51361,,,,,,,
7,0,2,970814,rdfnpick,146.0,145,147,Frenchtown Bk/Tillinghast Rd,East Greenwich,41.62973,-71.51361,,,,,,,
7,0,3,1040902,blgl,98.0,71,125,Hunt R./Davisville Rd.,East Greenwich,41.62371,-71.48190,,,,,,,
7,0,3,1040902,bndsnfsh,77.8,69,90,Hunt R./Davisville Rd.,East Greenwich,41.62371,-71.48190,,,,,,,
7,0,3,1040902,brbull,122.4,59,175,Hunt R./Davisville Rd.,East Greenwich,41.62371,-71.48190,,,,,,,
7,0,3,1040902,eel,218.8,70,350,Hunt R./Davisville Rd.,East Greenwich,41.62371,-71.48190,,,,,,,
7,0,3,1040902,gldshnr,129.3,110,156,Hunt R./Davisville Rd.,East Greenwich,41.62371,-71.48190,,,,,,,
7,0,3,1040902,lmb,68.2,36,86,Hunt R./Davisville Rd.,East Greenwich,41.62371,-71.48190,,,,,,,
7,0,3,1040902,lngndc,100.4,90,110,Hunt R./Davisville Rd.,East Greenwich,41.62371,-71.48190,,,,,,,
