SiteID,State,LatDD,LonDD,Datum,Contact
Birch Branch,TN,36.556290,-81.869410,NAD83,Habera
Briar Creek,TN,36.228250,-82.388830,NAD83,Habera
Rocky Fork,TN,36.067580,-82.596080,NAD83,Habera
Right Prong Middle Branch,TN,36.120070,-82.095740,NAD83,Habera
Left Prong Hampton Creek1,TN,36.146730,-82.049170,NAD83,Habera
Left Prong Hampton Creek2,TN,36.138110,-82.044730,NAD83,Habera
Gentry Creek,TN,36.559280,-81.711310,NAD83,Habera
Doe River,TN,36.140950,-82.120270,NAD83,Habera
Board Camp Creek-1,GA,34.765073,-83.987267,WGS 84,Rabern
Board Camp Creek-2,GA,34.765073,-83.987267,WGS 84,Rabern
Board Camp Creek-3,GA,34.765073,-83.987267,WGS 84,Rabern
North Moccasin-1,GA,34.868618,-83.622427,WGS 84,Rabern
North Moccasin-2,GA,34.868618,-83.622427,WGS 84,Rabern
North Moccasin-3,GA,34.868618,-83.622427,WGS 84,Rabern
Totterypole Creek-1,GA,34.953898,-83.221757,WGS 84,Rabern
Totterypole Creek-2,GA,34.953898,-83.221757,WGS 84,Rabern
Totterypole Creek-3,GA,34.953898,-83.221757,WGS 84,Rabern
Chattahoochee River-1,GA,34.802078,-83.787117,WGS 84,Rabern
Chattahoochee River-2,GA,34.802078,-83.787117,WGS 84,Rabern
Chattahoochee River-3,GA,34.802078,-83.787117,WGS 84,Rabern
Chattahoochee River-4,GA,34.802078,-83.787117,WGS 84,Rabern
Chattahoochee River-5,GA,34.802078,-83.787117,WGS 84,Rabern
Chattahoochee River-6,GA,34.802078,-83.787117,WGS 84,Rabern
Ammons Creek,GA,34.989440,-83.273040,WGS 84,Rabern
Bailey Creek,GA,34.968020,-83.264790,WGS 84,Rabern
Big Net Creek,GA,34.827760,-83.683030,WGS 84,Rabern
Boardcamp Creek,GA,34.766470,-83.984060,WGS 84,Rabern
Burnett Creek,GA,34.775900,-84.005350,WGS 84,Rabern
Chattahoochee River,GA,34.798550,-83.784930,WGS 84,Rabern
Davis Creek,GA,34.649420,-84.181790,WGS 84,Rabern
Flat Branch Creek,GA,34.954190,-83.538120,WGS 84,Rabern
Frick Creek,GA,34.657940,-84.159760,WGS 84,Rabern
Gurly Branch,GA,34.837390,-83.784570,WGS 84,Rabern
High Shoals Creek,GA,34.795420,-83.708110,WGS 84,Rabern
Holcomb Creek,GA,34.982800,-83.285280,WGS 84,Rabern
Keener Creek,GA,34.947730,-83.454500,WGS 84,Rabern
Logan Creek,GA,34.769010,-83.990650,WGS 84,Rabern
Mandy Branch,GA,34.858590,-83.636450,WGS 84,Rabern
North Moccasin Creek,GA,34.879910,-83.637970,WGS 84,Rabern
Persimmon Creek,GA,34.960550,-83.488180,WGS 84,Rabern
Popcorn Creek,GA,34.900890,-83.578090,WGS 84,Rabern
Pretty Branch,GA,34.770690,-84.042510,WGS 84,Rabern
Ramey Creek,GA,34.946140,-83.325250,WGS 84,Rabern
Woods Branch,GA,34.858590,-83.636450,WGS 84,Rabern
ANTI-101,MD,39.658330,-77.545280,,Kashiwagi
LOCH-120,MD,39.480521,-76.698292,,Kashiwagi
PRLN-626,MD,39.546090,-78.909550,,Kashiwagi
SAVA-204,MD,39.503558,-79.156506,,Kashiwagi
SAVA-225,MD,39.600445,-79.069879,,Kashiwagi
SAVA-276,MD,39.533744,-79.200272,,Kashiwagi
UMON-119,MD,39.586360,-77.491470,,Kashiwagi
UMON-288,MD,39.608890,-77.430760,,Kashiwagi
YOUG-432,MD,39.644994,-79.282340,,Kashiwagi
Big Run Lower Station,MD,39.544870,-79.141050,NAD83,Wampler
Big Run Middle Station,MD,39.554380,-79.148570,NAD83,Wampler
Big Run Upper Station,MD,39.583550,-79.170450,NAD83,Wampler
Middle Fork Lower Station,MD,39.513570,-79.156220,NAD83,Wampler
Middle Fork Middle Station,MD,39.512450,-79.161480,NAD83,Wampler
Middle Fork Upper Station,MD,39.535280,-79.187700,NAD83,Wampler
Little Savage Lower Station,MD,39.597100,-79.054130,NAD83,Wampler
Little Savage Middle Station ,MD,39.600470,-79.038570,NAD83,Wampler
Little Savage Upper Station,MD,39.612500,-79.028150,NAD83,Wampler
Blue Lick Lower Station ,MD,39.602680,-79.071200,NAD83,Wampler
Blue Lick Middle Station ,MD,39.630770,-79.062680,NAD83,Wampler
Blue Lick Upper Station,MD,39.637180,-79.058900,NAD83,Wampler
Poplar Lick Lower Station ,MD,39.586120,-79.094680,NAD83,Wampler
Poplar Lick Middle Station ,MD,39.598430,-79.118600,NAD83,Wampler
Poplar Lick Upper Station,MD,39.618430,-79.133550,NAD83,Wampler
Monroe Run Lower Station,MD,39.550020,-79.147020,NAD83,Wampler
Monroe Run Middle Station,MD,39.555530,-79.118600,NAD83,Wampler
Monroe Run Upper Station,MD,39.564770,-79.198220,NAD83,Wampler
Crabtree Middle Station,MD,39.493780,-79.168530,NAD83,Wampler
Crabtree Upper Station,MD,39.473300,-79.195350,NAD83,Wampler
Savage Mainstem Broadwaters Chappel,MD,39.564580,-79.108470,NAD83,Wampler
Savage Mainstem Lower Station,MD,39.586180,-79.084970,NAD83,Wampler
Savage Mainstem Middle Station,MD,39.595970,-79.065200,NAD83,Wampler
Savage Mainstem Upper Station,MD,39.599870,-79.054580,NAD83,Wampler
Savage Mainstem Iron Bridge,MD,39.588080,-79.084580,NAD83,Wampler
Kellog Branch,MD,39.628320,-76.429480,WGS84,Staley
Sawmill Branch,MD,39.525139,-76.532117,WGS84,Staley
Piney Creek,MD,39.577580,-76.678250,WGS84,Staley
Panther Branch,MD,39.605600,-76.641317,WGS84,Staley
Bunker Hill Trib.,MD,39.614950,-76.670120,WGS84,Staley
Roller Rd Trib.,MD,39.693970,-76.805900,WGS84,Staley
Grave Run,MD,39.668547,-76.856953,WGS84,Staley
Silver Run,MD,39.689028,-76.769944,WGS84,Staley
Walker Run,MD,39.691417,-76.777972,WGS84,Staley
Clipper Mill Trib.,MD,39.679480,-76.771500,WGS84,Staley
Springhouse Run,MD,39.676530,-76.770830,WGS84,Staley
Bulls Sawmill Trib.,MD,39.656250,-76.738280,WGS84,Staley
Fridley Gap,VA,38.495989,-78.708329,NAD83,Hudy
Bell Draft,PA,41.378093,-78.337942,NAD83,Sweka
Big Run_PA,PA,41.471000,-78.398000,NAD83,Sweka
Driftwood Branch,PA,41.581632,-78.440634,NAD83,Sweka
Fourmile Run,PA,41.584509,-78.249091,NAD83,Sweka
Jack Dent Branch,PA,41.229337,-78.364526,NAD83,Sweka
Lick Island Run,PA,41.379096,-78.059717,NAD83,Sweka
Montour Run,PA,41.308884,-78.018755,NAD83,Sweka
Parker Run,PA,41.637001,-78.255344,NAD83,Sweka
Prouty Run,PA,41.692841,-77.918117,NAD83,Sweka
Rock Run,PA,41.479450,-78.140263,NAD83,Sweka
Waldy Run,PA,41.601940,-78.290556,NAD83,Sweka
Fishing Creek Lower Left Fork,MD,39.528442,-77.470764,,Mullican
Fishing Creek Upper Left Fork,MD,39.539917,-77.477664,,Mullican
Fishing Creek Lower Right Fork,MD,39.536397,-77.467939,,Mullican
Fishing Creek Upper Right Fork,MD,39.541792,-77.465022,,Mullican
Owens Creek Lower Park Boundary,MD,39.669581,-77.478342,,Mullican
Owens Creek Campground,MD,39.661481,-77.481306,,Mullican
Big Hunting Creek Hemlock Bridge,MD,39.633761,-77.477289,,Mullican
Little Hunting Creek Catoctin Hollow Rd,MD,39.581189,-77.450217,,Mullican
1F001,VA,38.824288,-78.203287,NAD83,Wofford
1F002,VA,38.828035,-78.188811,NAD83,Wofford
1F003,VA,38.703016,-78.268659,NAD83,Wofford
1F003_1,VA,38.701545,-78.263362,NAD83,Wofford
1F004,VA,38.704376,-78.269631,NAD83,Wofford
1F005,VA,38.710502,-78.275795,NAD83,Wofford
1F006,VA,38.715633,-78.381435,NAD83,Wofford
1F007,VA,38.712129,-78.370648,NAD83,Wofford
1F008,VA,38.711589,-78.359275,NAD83,Wofford
1F030,VA,38.695066,-78.279359,NAD83,Wofford
1F031,VA,38.696862,-78.282970,NAD83,Wofford
1F056,VA,38.806249,-78.154340,NAD83,Wofford
1F057,VA,38.806847,-78.157250,NAD83,Wofford
1F058,VA,38.806958,-78.161446,NAD83,Wofford
1F116,VA,38.714816,-78.343061,NAD83,Wofford
1F117,VA,38.727092,-78.336324,NAD83,Wofford
1F118,VA,38.748358,-78.324451,NAD83,Wofford
1F132,VA,38.789559,-78.319182,NAD83,Wofford
1F133,VA,38.826087,-78.195489,NAD83,Wofford
1F137,VA,38.719202,-78.280659,NAD83,Wofford
1F138,VA,38.728019,-78.291584,NAD83,Wofford
1F145,VA,38.711831,-78.277543,NAD83,Wofford
1F219,VA,38.749464,-78.230386,NAD83,Wofford
1F228,VA,38.896709,-78.181271,NAD83,Wofford
1F231,VA,38.778211,-78.346880,NAD83,Wofford
1F233,VA,38.772518,-78.162413,NAD83,Wofford
1F234,VA,38.734845,-78.259727,NAD83,Wofford
1FVA1,VA,38.723827,-78.337170,NAD83,Wofford
1FVA2,VA,38.703294,-78.291270,NAD83,Wofford
1FVA3,VA,38.708450,-78.300354,NAD83,Wofford
2F009,VA,38.540688,-78.349669,NAD83,Wofford
2F010,VA,38.545666,-78.351688,NAD83,Wofford
2F011,VA,38.548233,-78.353450,NAD83,Wofford
2F015,VA,38.515419,-78.366390,NAD83,Wofford
