Code,Sci name,Common Name
AMNA,Ameiurus natalis,yellow bullhead
AMNE,Ameiurus nebulosus,brown bullhead
AMRU,Ambloplites rupestris,rock bass
CAAN,Campostoma anomalum,central stoneroller
COBA,Cottus bairdii,mottled sculpin
HXTR,SAFO x SATR,tiger trout (brown x brook)
LEAU,Lepomis auritus,redbreast sunfish
LEGI,Lepomis gibbosus,pumpkinseed
LEMA,Lepomis macrochirus,bluegill
MIDO,Micropterus dolomieu,smallmouth bass
MISA,Micropterus salmoides,largemouth bass
ONMY,Oncorhynchus mykiss,rainbow trout
RHAT,Rhinichthys atratulus,blacknose dace
RHCA,Rhinichthys cataractae,longnose dace
SAFO,Salvelinus fontinalis,brook trout
SATR,Salmo trutta,brown trout
SEAT,Semotilus atromaculatus,creek chub
